group	subset	learningiter	acc	expid
tv	460	46500	0.853044	463
tv	460	46750	0.856957	463
tv	460	47000	0.856232	463
tv	460	47250	0.860145	463
tv	460	47500	0.856811	463
tv	460	47750	0.847102	463
tv	460	48000	0.85942	463
tv	460	48250	0.851449	463
tv	460	48500	0.858696	463
tv	460	48750	0.852319	463
tv	460	49000	0.832319	463
tv	460	49250	0.856957	463
tv	460	49500	0.848261	463
tv	460	49750	0.849275	463
tv	460	50000	0.851739	463
tv	460	50250	0.856667	463
tv	460	50500	0.845942	463
tv	460	50750	0.861304	463
tv	460	51000	0.84913	463
tv	460	51250	0.847681	463
tv	460	51500	0.853043	463
tv	460	51750	0.847971	463
tv	460	52000	0.847971	463
tv	460	52250	0.85942	463
tv	460	52500	0.856522	463
tv	460	52750	0.853189	463
tv	460	53000	0.864783	463
tv	460	53250	0.853913	463
tv	460	53500	0.853478	463
tv	460	53750	0.847681	463
tv	460	54000	0.86058	463
tv	460	54250	0.844348	463
tv	460	54500	0.855942	463
tv	460	54750	0.839855	463
tv	460	55000	0.861594	463
tv	460	55250	0.856377	463
tv	460	55500	0.837536	463
tv	460	55750	0.859855	463
tv	460	56000	0.848261	463
tv	460	56250	0.848841	463
tv	460	56500	0.85913	463
tv	460	56750	0.852464	463
tv	460	57000	0.836957	463
tv	460	57250	0.850435	463
tv	460	57500	0.86058	463
tv	460	57750	0.854058	463
tv	460	58000	0.850435	463
tv	460	58250	0.854783	463
tv	460	58500	0.856957	463
tv	460	58750	0.857536	463
tv	460	59000	0.861884	463
tv	460	59250	0.839855	463
tv	460	59500	0.855072	463
tv	460	59750	0.852899	463
tv	460	60000	0.851014	463
tv	460	60250	0.842029	463
tv	460	60500	0.86058	463
tv	460	60750	0.845507	463
tv	460	61000	0.858406	463
tv	460	61250	0.857971	463
tv	460	61500	0.846667	463
tv	460	61750	0.856667	463
tv	460	62000	0.843768	463
tv	460	62250	0.860435	463
tv	460	62500	0.846812	463
tv	460	62750	0.86058	463
tv	460	63000	0.853913	463
tv	460	63250	0.864203	463
tv	460	63500	0.856377	463
tv	460	63750	0.837101	463
tv	460	64000	0.857391	463
tv	460	64250	0.857826	463
tv	460	64500	0.845652	463
tv	460	64750	0.858116	463
tv	460	65000	0.85	463
tv	460	65250	0.852754	463
tv	460	65500	0.857536	463
tv	460	65750	0.851739	463
tv	460	66000	0.853044	463
tv	460	66250	0.848261	463
tv	460	66500	0.859275	463
tv	460	66750	0.853623	463
tv	460	67000	0.862464	463
tv	460	67250	0.851449	463
tv	460	67500	0.825362	463
tv	460	67750	0.862609	463
tv	460	68000	0.843913	463
tv	460	68250	0.851014	463
tv	460	68500	0.837246	463
tv	460	68750	0.859855	463
tv	460	69000	0.841594	463
tv	460	69250	0.864203	463
tv	460	69500	0.840725	463
tv	460	69750	0.843333	463
tv	460	70000	0.861739	463
tv	460	70250	0.842319	463
tv	460	70500	0.849275	463
tv	460	70750	0.847246	463
tv	460	71000	0.857536	463
tv	460	71250	0.854348	463
tv	460	71500	0.863913	463
tv	460	71750	0.847391	463
tv	460	72000	0.844783	463
tv	460	72250	0.854928	463
tv	460	72500	0.855652	463
tv	460	72750	0.853768	463
tv	460	73000	0.863478	463
tv	460	73250	0.851594	463
tv	460	73500	0.864348	463
tv	460	73750	0.861014	463
tv	460	74000	0.838696	463
tv	460	74250	0.855362	463
tv	460	74500	0.857102	463
tv	460	74750	0.856522	463
tv	460	75000	0.853044	463
tv	460	0	0.492267	188
tv	460	250	0.574667	188
tv	460	500	0.607867	188
tv	460	750	0.634533	188
tv	460	1000	0.6416	188
tv	460	1250	0.666133	188
tv	460	1500	0.668	188
tv	460	1750	0.682133	188
tv	460	2000	0.686667	188
tv	460	2250	0.693733	188
tv	460	2500	0.7136	188
tv	460	2750	0.707333	188
